 File,c:\shareddata\ronald\2017-02-28\pa\stub01\stub01.csv
 Stub,SG170216_06
 Date, 2,28,2017
 Time,16, 9
 Acc.,Voltage,10.0
 Magn:,   600
Thresholds:
 Phase,Low,Upp
   1,  23, 255
 TakeOff,37.4
 Preset,Time:,   3.0
 Elem, 5
 Data,Type:,ZAF Elem.,Wt%
 Particle, Scan,10
 Part#,Field#,Phase#,X_stage,Y_stage,X_cent,Y_cent,X_left,Y_low,X_width,Y_height,Xferet,Yferet,AvgDiam,LProj,Area,Perim,Shape,Aspe,Orient,CK,OK,AlK,SiK,UM,  CPS ,AvgVideo,StgX ,StgY ,MinCnts
  221,159, 1,  2535,  -623,1713, 278,1681, 254,  32,  25,    0.93,    1.16,    1.08,    1.25,   0.9104,    3.24,    0.92,    1.34, 90,  10.10,  20.29,   1.25,   0.00,  68.35,  1558,120,   2.694,  -0.781,4574
  222,160, 1,  3009,  -623, 270, 264, 238, 240,  32,  25,    1.16,    0.93,    1.11,    1.35,   0.9639,    3.24,    0.87,    1.48, 26,   9.01,  14.49,   1.37,   0.00,  75.12,  1482, 88,   2.835,  -0.784,4329
  223,160, 1,  3009,  -623, 268, 259, 236, 235,  32,  25,    1.39,    1.16,    1.28,    1.55,   1.2852,    3.93,    0.96,    1.47, 21,   8.33,  17.41,   0.00,   0.00,  74.26,  1430,142,   2.834,  -0.785,4216
  224,160, 1,  3009,  -623,1776,  75,1744,  51,  32,  25,    1.39,    1.16,    1.17,    1.46,   1.0710,    3.93,    1.15,    1.57,-30,   8.96,  20.62,   0.00,   0.00,  70.42,  1658,114,   3.183,  -0.828,4665
  225,161, 1,  3482,  -623, 135, 979, 102, 955,  32,  25,    1.39,    1.16,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45,  0,  12.21,  14.09,   0.00,   7.22,  66.48,  1466,105,   3.276,  -0.619,4220
  226,162, 1,  3955,  -623, 431, 974, 399, 950,  32,  25,    1.16,    1.16,    1.22,    1.48,   1.1781,    3.47,    0.81,    1.46, 53,  10.66,  16.59,   0.00,   0.00,  72.74,  1446, 99,   3.818,  -0.620,4221
  227,162, 1,  3955,  -623,1087, 567,1055, 543,  32,  25,    1.16,    1.16,    1.22,    1.35,   1.1781,    3.47,    0.81,    1.21, 90,   8.79,  19.22,   0.00,   0.00,  71.98,  1504,128,   3.970,  -0.714,4481
  228,164, 1, -3612,  -994, 793,1223, 760,1199,  32,  25,    1.39,    1.16,    1.17,    1.46,   1.0710,    3.93,    1.15,    1.57, 11,   8.32,  17.18,   0.00,   0.00,  74.50,  1487, 71,  -3.665,  -0.933,4366
  229,164, 1, -3612,  -994, 571,1037, 538,1013,  32,  25,    1.39,    1.16,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 53,   9.21,  17.88,   0.00,   3.33,  69.59,  1457,120,  -3.717,  -0.976,4399
  230,165, 1, -3139,  -994,1883, 920,1850, 896,  32,  25,    1.39,    1.16,    1.11,    1.46,   0.9639,    3.93,    1.28,    1.75, 11,   8.78,  21.39,   0.00,   0.00,  69.83,  1704,140,  -2.940,  -1.003,4892
  231,166, 1, -2666,  -994, 687, 662, 655, 636,  32,  25,    1.16,    0.93,    1.11,    1.48,   0.9639,    3.24,    0.87,    1.79, 36,   8.52,  25.21,   0.00,   0.00,  66.28,  1643,123,  -2.744,  -1.063,4951
  232,167, 1, -2193,  -994,1850,1183,1818,1159,  32,  25,    1.39,    1.16,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 53,   8.04,  21.32,   0.00,   0.00,  70.64,  1627,124,  -2.002,  -0.942,4987
  233,167, 1, -2193,  -994, 203, 757, 170, 733,  32,  25,    1.39,    1.16,    1.14,    1.39,   1.0175,    3.93,    1.21,    1.49,-11,   8.32,  19.36,   0.00,   0.00,  72.31,  1631,128,  -2.383,  -1.041,4619
  234,169, 1, -1247,  -994, 393, 188, 361, 164,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   8.77,  18.66,   0.00,   0.00,  72.57,  1421,102,  -1.393,  -1.173,4258
  235,170, 1,  -774,  -994,1001, 923, 969, 899,  32,  25,    1.39,    1.39,    1.22,    1.46,   1.1781,    4.17,    1.17,    1.43, 11,  11.19,  15.40,   0.00,   0.00,  73.40,  1313,101,  -0.779,  -1.003,3952
  236,170, 1,  -774,  -994,1856, 924,1824, 900,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.70,  17.20,   1.11,   1.17,  70.82,  1525,114,  -0.581,  -1.002,4515
  237,171, 1,  -301,  -994,1575,1013,1543, 989,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.33,  17.12,   0.00,   1.22,  73.32,  1531,132,  -0.173,  -0.982,4449
  238,172, 1,   171,  -994, 960, 510, 928, 486,  32,  25,    1.16,    1.39,    1.33,    1.55,   1.3923,    3.93,    0.88,    1.36, 90,   9.76,  18.57,   0.00,   1.27,  70.40,  1508,134,   0.156,  -1.098,4514
  239,173, 1,   643,  -994,1423,1398,1390,1375,  32,  25,    1.39,    1.16,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 53,  11.26,  14.25,   0.00,   0.00,  74.49,  1450, 87,   0.735,  -0.893,4249
  240,173, 1,   643,  -994,1392, 963,1360, 939,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 36,  10.29,  17.21,   0.00,   1.76,  70.74,  1498,111,   0.728,  -0.993,4355
  241,174, 1,  1117,  -994,1151, 461,1119, 436,  32,  25,    0.69,    0.46,    0.64,    0.83,   0.3213,    1.62,    0.65,    1.70, 90,  11.63,  19.30,   0.00,   0.00,  69.06,  1519,137,   1.146,  -1.109,4483
  242,175, 1,  1590,  -994,  61,1297,  29,1273,  32,  25,    1.16,    1.16,    1.08,    1.31,   0.9104,    3.47,    1.05,    1.48, 45,   9.79,  16.11,   0.00,   1.53,  72.57,  1457, 98,   1.367,  -0.916,4159
  243,175, 1,  1590,  -994,1965, 495,1933, 471,  32,  25,    1.16,    0.93,    1.11,    1.35,   0.9639,    3.24,    0.87,    1.48, 26,  11.06,  18.24,   0.00,   0.00,  70.70,  1554,118,   1.808,  -1.102,4550
  244,179, 1,  3482,  -994, 585,1357, 553,1333,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,   9.58,  18.29,   1.18,   1.54,  69.42,  1493,122,   3.380,  -0.902,4359
  245,179, 1,  3482,  -994, 191, 930, 159, 904,  32,  25,    1.16,    0.93,    1.14,    1.48,   1.0175,    3.24,    0.82,    1.69, 36,   9.59,  24.08,   0.00,   0.00,  66.33,  1555,133,   3.289,  -1.001,4513
  246,180, 1,  3955,  -994,1648,1290,1616,1266,  32,  25,    1.39,    1.39,    1.33,    1.67,   1.3923,    4.17,    0.99,    1.57, 59,  10.32,  17.38,   0.00,   0.00,  72.30,  1408, 83,   4.099,  -0.918,4174
  247,180, 1,  3955,  -994, 866, 171, 834, 147,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   9.44,  18.90,   0.00,   3.43,  68.23,  1572,110,   3.918,  -1.177,4635
  248,181, 1, -4085, -1364,1699,1383,1667,1359,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.48,  22.06,   0.00,   0.00,  69.46,  1709,131,  -3.929,  -1.266,4885
  249,181, 1, -4085, -1364, 889,  88, 857,  64,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.24,    0.92,    1.57, 26,   9.44,  18.86,   0.00,   0.00,  71.69,  1541, 97,  -4.116,  -1.566,4544
  250,184, 1, -2667, -1364, 128, 806,  96, 782,  32,  25,    1.39,    0.93,    1.08,    1.46,   0.9104,    3.47,    1.05,    1.85, 11,  12.96,  14.47,   0.00,   0.00,  72.57,  1311, 64,  -2.874,  -1.400,3761
  251,185, 1, -2193, -1364, 854, 486, 821, 462,  32,  25,    1.39,    1.39,    1.25,    1.46,   1.2317,    4.17,    1.12,    1.37, 90,   8.39,  19.62,   0.00,   0.00,  71.99,  1513,127,  -2.232,  -1.474,4574
  252,186, 1, -1721, -1364,1232,1067,1200,1043,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 26,   9.17,  16.90,   0.00,   0.00,  73.93,  1523,110,  -1.673,  -1.339,4448
  253,187, 1, -1247, -1364,1127, 687,1094, 663,  32,  25,    1.39,    1.39,    1.28,    1.46,   1.2852,    4.17,    1.07,    1.31, 90,   8.06,  21.64,   0.00,   1.16,  69.13,  1567,132,  -1.223,  -1.427,4550
  254,187, 1, -1247, -1364,1219, 657,1187, 633,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.24,    0.92,    1.57, 26,  12.13,  13.59,   0.00,   7.38,  66.90,  1521,121,  -1.202,  -1.434,4417
  255,188, 1,  -774, -1364,  88, 881,  56, 857,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.14,  20.04,   1.30,   0.00,  69.53,  1500,127,  -0.991,  -1.382,4332
  256,188, 1,  -774, -1364, 318,  34, 286,   0,  32,  25,    1.39,    1.16,    1.25,    1.46,   1.2317,    3.93,    1.00,    1.37, 11,   8.23,  22.11,   0.00,   0.00,  69.66,  1542,131,  -0.937,  -1.578,4485
  257,189, 1,  -301, -1364, 494,1370, 462,1346,  32,  25,    1.39,    1.16,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45,  0,   8.32,  20.88,   0.00,   0.00,  70.79,  1547,115,  -0.424,  -1.269,4620
  258,189, 1,  -301, -1364,1540, 674,1508, 650,  32,  25,    1.16,    1.39,    1.28,    1.46,   1.2852,    3.93,    0.96,    1.31, 90,   9.03,  20.57,   0.00,   0.00,  70.40,  1633,114,  -0.182,  -1.430,4669
  259,191, 1,   644, -1364,1274, 940,1242, 916,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   7.91,  17.77,   1.25,   0.00,  73.07,  1597,138,   0.702,  -1.369,4673
  260,192, 1,  1116, -1364,1326, 744,1294, 720,  32,  25,    1.16,    1.39,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45, 90,   8.69,  15.37,   0.00,   0.00,  75.94,  1443,129,   1.186,  -1.414,4245
  261,194, 1,  2062, -1364,1348,1482,1316,1458,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.90,  19.36,   0.00,   0.00,  71.74,  1584,145,   2.137,  -1.243,4604
  262,194, 1,  2062, -1364, 826, 853, 793, 829,  32,  25,    1.39,    1.39,    1.22,    1.46,   1.1781,    4.17,    1.17,    1.43, 90,   9.79,  19.53,   1.28,   0.00,  69.40,  1512,103,   2.016,  -1.389,4426
  263,194, 1,  2062, -1364, 745, 685, 712, 661,  32,  25,    1.39,    1.16,    1.22,    1.41,   1.1781,    3.93,    1.05,    1.32,  0,   9.35,  22.35,   0.00,   0.00,  68.29,  1568,112,   1.997,  -1.428,4565
  264,195, 1,  2536, -1364,1672, 447,1640, 423,  32,  25,    1.16,    0.93,    1.08,    1.25,   0.9104,    3.24,    0.92,    1.34,-36,  10.53,  14.53,   1.06,   1.17,  72.71,  1479,108,   2.686,  -1.483,4250
  265,198, 1,  3955, -1364,1741,1212,1710,1188,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,  10.99,  11.69,   0.00,   0.00,  77.32,  1331, 90,   4.121,  -1.306,3967
  266,199, 1, -4086, -1734,1447, 537,1415, 513,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,   8.12,  21.82,   0.00,   0.00,  70.07,  1617,131,  -3.988,  -1.832,4810
  267,199, 1, -4086, -1734,   6, 530,   0, 506,  32,  25,    1.39,    0.93,    1.11,    1.41,   0.9639,    3.47,    0.99,    1.61,  0,   9.74,  22.42,   0.00,   0.00,  67.84,  1543,110,  -4.322,  -1.834,4306
  268,203, 1, -2193, -1734, 785, 758, 753, 734,  32,  25,    1.16,    1.16,    1.22,    1.48,   1.1781,    3.47,    0.81,    1.46, 53,   9.23,  22.96,   0.00,   1.41,  66.40,  1661,136,  -2.248,  -1.781,4826
  269,204, 1, -1721, -1734,1627,1050,1595,1026,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   9.50,  18.53,   1.39,   0.00,  70.58,  1480,132,  -1.581,  -1.713,4623
  270,204, 1, -1721, -1734,1157, 640,1125, 616,  32,  25,    1.39,    1.16,    1.28,    1.55,   1.2852,    3.93,    0.96,    1.47, 21,   8.94,  22.28,   0.00,   0.00,  68.78,  1511,130,  -1.690,  -1.808,4598
  271,205, 1, -1248, -1734,  19, 659,   0, 635,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 36,   9.54,  18.17,   0.00,   0.00,  72.29,  1429,114,  -1.481,  -1.804,4177
  272,206, 1,  -775, -1734,1371, 235,1339, 211,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 26,   9.15,  21.86,   0.00,   0.00,  68.99,  1524,120,  -0.695,  -1.902,4716
  273,206, 1,  -775, -1734,1823, 139,1792, 115,  32,  25,    1.16,    1.16,    1.08,    1.35,   0.9104,    3.47,    1.05,    1.57, 26,  10.41,  15.77,   0.00,   0.00,  73.82,  1484, 97,  -0.590,  -1.924,4278
  274,206, 1,  -775, -1734,1771,  95,1739,  71,  32,  25,    1.16,    0.93,    1.01,    1.25,   0.8033,    3.24,    1.04,    1.52,-36,  15.48,  13.62,   1.27,   1.09,  68.54,  1437, 57,  -0.602,  -1.934,4174
  275,207, 1,  -301, -1734,1130,1413,1098,1389,  32,  25,    1.16,    1.16,    1.22,    1.48,   1.1781,    3.47,    0.81,    1.46, 53,   8.27,  21.74,   0.00,   0.00,  69.99,  1574,133,  -0.276,  -1.629,4696
  276,207, 1,  -301, -1734,1108,1058,1076,1034,  32,  25,    1.39,    1.39,    1.28,    1.48,   1.2852,    4.17,    1.07,    1.34, 36,  11.46,  15.88,   0.00,   0.00,  72.66,  1399,111,  -0.282,  -1.711,4167
  277,207, 1,  -301, -1734,1006, 926, 974, 902,  32,  25,    1.16,    1.39,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 90,  10.70,  14.26,   0.00,   1.28,  73.76,  1516, 47,  -0.305,  -1.742,4344
  278,207, 1,  -301, -1734, 541, 115, 509,  93,  32,  25,    2.55,    2.55,    2.15,    2.64,   3.6415,    9.26,    1.87,    1.50, 53,  11.48,  14.00,   0.00,   4.26,  70.25,  1470, 38,  -0.413,  -1.930,4327
  279,208, 1,   170, -1734, 622,1233, 590,1209,  32,  25,    1.16,    1.39,    1.20,    1.41,   1.1246,    3.93,    1.10,    1.38, 90,   9.67,  14.26,   0.00,   0.00,  76.07,  1398, 97,   0.077,  -1.671,4195
  280,208, 1,   170, -1734, 606, 992, 574, 968,  32,  25,    1.39,    1.39,    1.33,    1.55,   1.3923,    4.17,    0.99,    1.36, 90,  10.09,  18.58,   0.00,   0.00,  71.34,  1450,101,   0.073,  -1.727,4261
  281,208, 1,   170, -1734, 606, 986, 574, 962,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,  10.01,  13.71,   0.85,   0.92,  74.51,  1347,112,   0.073,  -1.728,4018
  282,208, 1,   170, -1734,1061, 213,1030, 189,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.73,  17.31,   0.00,   0.00,  72.97,  1497,121,   0.179,  -1.907,4120
  283,209, 1,   644, -1734, 398,1335, 367,1311,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 26,   9.54,  15.85,   0.00,   0.00,  74.61,  1454,102,   0.499,  -1.647,4124
  284,209, 1,   644, -1734,1877,1077,1845,1053,  32,  25,    1.39,    1.16,    1.20,    1.55,   1.1246,    3.93,    1.10,    1.68, 21,   8.73,  16.90,   0.00,   0.00,  74.37,  1514,116,   0.841,  -1.707,4476
  285,209, 1,   644, -1734, 390,1076, 358,1052,  32,  25,    1.39,    1.16,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 53,   9.65,  16.97,   0.00,   0.00,  73.38,  1520,116,   0.497,  -1.707,4217
  286,210, 1,  1117, -1734, 765,1437, 732,1413,  32,  25,    1.39,    1.16,    1.17,    1.46,   1.0710,    3.93,    1.15,    1.57, 11,   8.53,  22.32,   0.00,   0.00,  69.15,  1634,124,   1.057,  -1.624,4687
  287,210, 1,  1117, -1734,1365,1120,1333,1096,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.88,  21.10,   0.00,   0.00,  70.03,  1573, 97,   1.196,  -1.697,4651
  288,210, 1,  1117, -1734, 385, 943, 353, 919,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 36,   8.41,  19.12,   0.00,   0.00,  72.47,  1525,124,   0.969,  -1.738,4452
  289,210, 1,  1117, -1734,1297, 181,1264, 157,  32,  25,    1.39,    1.16,    1.17,    1.39,   1.0710,    3.93,    1.15,    1.41,-11,   8.74,  19.66,   0.00,   0.00,  71.60,  1516,137,   1.180,  -1.914,4498
  290,210, 1,  1117, -1734,1346,  77,1314,  53,  32,  25,    1.16,    0.93,    1.04,    1.25,   0.8568,    3.24,    0.97,    1.42, 14,   9.13,  18.08,   0.00,   0.00,  72.79,  1490,112,   1.192,  -1.938,4293
  291,211, 1,  1589, -1734, 676, 281, 644, 257,  32,  25,    1.16,    1.16,    1.22,    1.35,   1.1781,    3.47,    0.81,    1.21, 90,   8.45,  19.71,   0.00,   0.00,  71.84,  1511,123,   1.508,  -1.891,4243
  292,212, 1,  2062, -1734, 190, 823, 158, 797,  32,  25,    1.16,    0.93,    1.14,    1.35,   1.0175,    3.24,    0.82,    1.41, 26,   8.65,  23.04,   0.00,   1.47,  66.84,  1607,121,   1.869,  -1.766,4723
  293,213, 1,  2535, -1734,  39,1312,   0,1288,  32,  25,    1.16,    1.16,    1.08,    1.35,   0.9104,    3.47,    1.05,    1.57, 26,   8.24,  20.23,   0.00,   0.00,  71.53,  1543,122,   2.307,  -1.653,4487
  294,214, 1,  3009, -1734, 388,1270, 356,1246,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   7.90,  17.21,   0.00,   0.00,  74.89,  1591,133,   2.862,  -1.662,4530
  295,218, 1, -3613, -2104,1943, 693,1911, 669,  32,  25,    1.16,    1.16,    1.14,    1.25,   1.0175,    3.47,    0.94,    1.20, 90,   8.98,  19.79,   0.00,   0.00,  71.24,  1688,138,  -3.400,  -2.166,4836
  296,219, 1, -3139, -2104,1435,1185,1403,1159,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.14,  22.43,   1.39,   0.00,  67.03,  1662,148,  -3.044,  -2.052,4948
  297,219, 1, -3139, -2104,1641, 990,1609, 966,  32,  25,    1.16,    1.16,    1.08,    1.25,   0.9104,    3.47,    1.05,    1.34,-36,   9.59,  17.13,   1.01,   1.16,  71.11,  1482,117,  -2.996,  -2.097,4294
  298,220, 1, -2667, -2104, 226,1505, 194,1481,  32,  25,    1.16,    0.93,    1.04,    1.25,   0.8568,    3.24,    0.97,    1.42, 14,  15.09,  17.67,   0.00,   1.90,  65.34,  1355, 85,  -2.852,  -1.978,3967
  299,221, 1, -2193, -2104,1999, 917,1967, 893,  32,  25,    1.16,    1.16,    1.08,    1.35,   0.9104,    3.47,    1.05,    1.57, 90,  11.42,  16.34,   0.00,   0.00,  72.24,  1538, 59,  -1.967,  -2.114,4458
  300,224, 1,  -774, -2104,1854, 255,1822, 231,  32,  25,    0.93,    1.16,    1.08,    1.25,   0.9104,    3.24,    0.92,    1.34, 90,   8.70,  17.27,   0.00,   0.00,  74.03,  1488,122,  -0.582,  -2.267,4490
  301,226, 1,   171, -2104,1996, 943,1964, 919,  32,  25,    1.39,    1.16,    1.25,    1.55,   1.2317,    3.93,    1.00,    1.54, 21,   8.75,  20.45,   0.00,   0.00,  70.80,  1546,131,   0.396,  -2.108,4567
  302,227, 1,   643, -2104, 810, 976, 778, 952,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   9.53,  20.36,   0.00,   0.00,  70.11,  1460,115,   0.593,  -2.100,4312
  303,228, 1,  1117, -2104,1108,1519,1076,1493,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 36,   8.78,  22.87,   0.00,   0.00,  68.35,  1605,132,   1.136,  -1.975,4777
  304,228, 1,  1117, -2104,1865, 600,1833, 576,  32,  25,    1.39,    1.39,    1.38,    1.55,   1.4995,    4.17,    0.92,    1.26, 90,  12.64,  17.54,   0.00,   0.00,  69.82,  1523, 89,   1.312,  -2.187,4454
  305,229, 1,  1590, -2104,1377,1220,1344,1196,  32,  25,    1.39,    1.16,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 53,   8.30,  19.90,   0.00,   1.18,  70.62,  1627,135,   1.672,  -2.044,4733
  306,231, 1,  2536, -2104,1426,1446,1394,1422,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   9.18,  15.26,   0.00,   1.22,  74.34,  1434,123,   2.629,  -1.992,4227
  307,231, 1,  2536, -2104,1724,1076,1692,1052,  32,  25,    1.39,    1.16,    1.14,    1.46,   1.0175,    3.93,    1.21,    1.65, 11,  11.74,  10.11,   0.00,   0.00,  78.15,  1500,102,   2.698,  -2.077,4313
  308,234, 1,  3955, -2104, 685,1395, 653,1371,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,  10.54,  17.47,   0.00,   0.00,  71.99,  1531, 73,   3.877,  -2.003,4406
  309,234, 1,  3955, -2104, 336, 971, 304, 947,  32,  25,    1.39,    1.39,    1.36,    1.55,   1.4459,    4.17,    0.95,    1.31, 90,  10.52,  18.30,   0.00,   0.00,  71.18,  1467,110,   3.796,  -2.101,4289
  310,234, 1,  3955, -2104, 183, 429, 151, 405,  32,  25,    1.16,    0.93,    1.11,    1.48,   0.9639,    3.24,    0.87,    1.79, 36,  10.02,  24.03,   0.00,   0.00,  65.95,  1551,127,   3.760,  -2.227,4419
  311,237, 1, -3139, -2473, 801, 102, 769,  78,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,  10.52,  17.84,   0.00,   4.30,  67.34,  1509,120,  -3.191,  -2.672,4452
  312,240, 1, -1721, -2473,1456,1011,1424, 987,  32,  25,    1.39,    1.39,    1.33,    1.55,   1.3923,    4.17,    0.99,    1.36, 90,   9.17,  13.89,   0.00,   0.00,  76.94,  1360, 98,  -1.621,  -2.461,4212
  313,240, 1, -1721, -2473,  99, 111,  67,  87,  32,  25,    1.16,    1.16,    1.08,    1.25,   0.9104,    3.47,    1.05,    1.34, 90,   8.94,  21.35,   0.00,   0.00,  69.71,  1539,135,  -1.935,  -2.669,4546
  314,242, 1,  -775, -2473,1081,1429,1049,1405,  32,  25,    1.16,    1.16,    1.22,    1.35,   1.1781,    3.47,    0.81,    1.21, 90,   8.94,  17.50,   0.00,   0.00,  73.55,  1478,123,  -0.762,  -2.364,4306
  315,243, 1,  -301, -2473,1258, 538,1226, 514,  32,  25,    1.39,    1.16,    1.25,    1.46,   1.2317,    3.93,    1.00,    1.37, 11,  10.74,  15.29,   0.00,   0.00,  73.97,  1426,126,  -0.247,  -2.571,4324
  316,245, 1,   644, -2473,1074,1102,1042,1078,  32,  25,    1.39,    1.16,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 53,  10.36,  17.64,   0.00,   0.00,  72.00,  1487, 97,   0.656,  -2.440,4222
  317,245, 1,   644, -2473, 195, 234, 164, 210,  32,  25,    2.31,    1.39,    1.61,    2.42,   2.0350,    5.55,    1.21,    2.25,-23,  29.38,  12.32,   0.00,   0.00,  58.31,  1227, 26,   0.452,  -2.641,3714
  318,247, 1,  1590, -2473,1707, 705,1675, 681,  32,  25,    1.16,    1.16,    1.08,    1.25,   0.9104,    3.47,    1.05,    1.34, 90,   9.58,  16.30,   1.54,   1.29,  71.30,  1509,113,   1.748,  -2.532,4386
  319,247, 1,  1590, -2473,1630, 370,1598, 346,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 26,   8.65,  22.49,   0.00,   0.00,  68.86,  1625,118,   1.730,  -2.610,4673
  320,248, 1,  2062, -2473, 207, 879, 175, 855,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   8.72,  21.60,   0.00,   0.00,  69.68,  1566,150,   1.873,  -2.492,4452
  321,248, 1,  2062, -2473,1329, 563,1297, 539,  32,  25,    1.39,    1.39,    1.43,    1.67,   1.6066,    4.17,    0.86,    1.36, 59,  10.03,  16.89,   0.00,   1.43,  71.65,  1487,121,   2.133,  -2.565,4447
  322,249, 1,  2536, -2473,2037,1410,2005,1386,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.95,  21.53,   0.00,   0.00,  69.52,  1654,139,   2.770,  -2.369,4783
  323,249, 1,  2536, -2473,  90, 973,  58, 949,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   8.99,  20.10,   0.00,   0.00,  70.91,  1500, 97,   2.320,  -2.470,4449
  324,249, 1,  2536, -2473, 748, 549, 716, 525,  32,  25,    1.39,    1.16,    1.31,    1.55,   1.3388,    3.93,    0.92,    1.41, 21,   9.95,  19.02,   1.32,   0.00,  69.72,  1565,114,   2.472,  -2.568,4423
  325,249, 1,  2536, -2473, 760, 208, 728, 184,  32,  25,    1.16,    0.93,    1.14,    1.35,   1.0175,    3.24,    0.82,    1.41, 26,   9.27,  22.10,   0.00,   0.00,  68.63,  1550,131,   2.475,  -2.647,4525
  326,250, 1,  3009, -2473,  96,1109,  64,1085,  32,  25,    1.39,    0.93,    1.17,    1.46,   1.0710,    3.47,    0.90,    1.57, 11,  11.94,  15.03,   0.00,   0.00,  73.03,  1339,102,   2.794,  -2.439,3929
  327,251, 1,  3482, -2473,1691, 569,1659, 545,  32,  25,    1.16,    1.39,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45, 90,   9.92,  14.57,   0.00,   0.00,  75.51,  1410,100,   3.636,  -2.563,4335
  328,252, 1,  3954, -2473, 517, 240, 485, 216,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   9.90,  15.18,   1.44,   1.35,  72.14,  1431, 72,   3.837,  -2.640,4209
  329,253, 1, -4086, -2844,1308, 747,1276, 723,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   7.79,  21.83,   0.00,   0.00,  70.38,  1519,140,  -4.020,  -2.893,4614
  330,253, 1, -4086, -2844,1688,  90,1655,  66,  32,  25,    1.39,    1.16,    1.20,    1.41,   1.1246,    3.93,    1.10,    1.38,-21,   9.73,  16.99,   0.00,   0.00,  73.28,  1610,114,  -3.932,  -3.045,4560
